footballdb_player;footballdb_team;footballdb_position;sleeper_Player_id;sleeper_player;sleeper_team;sleeper_position
Alec Ingold;MIA;RB;6109;Alec Ingold;MIA;FB
Amari Cooper;CLE;WR;2309;Amari Cooper;BUF;WR
Anders Carlson;SF;K;11008;Anders Carlson;NYJ;K
Andrew Ogletree;IND;TE;8489;Drew Ogletree;IND;TE
Brayden Narveson;GB;K;11949;Brayden Narveson;;K
C.J. Ham;MIN;RB;3832;C.J. Ham;MIN;FB
Cade York;WAS;K;8258;Cade York;;K
Cartavious Bigsby;JAX;RB;9225;Tank Bigsby;JAX;RB
Chatarius Atwell;LAR;WR;7562;Tutu Atwell;LAR;WR
Chigoziem Okonkwo;TEN;TE;8210;Chig Okonkwo;TEN;TE
Christopher Brooks;GB;RB;11370;Chris Brooks;GB;RB
Christopher Rodriguez;WAS;RB;10219;Chris Rodriguez;WAS;RB
D.J. Moore;CHI;WR;4983;DJ Moore;CHI;WR
D.J. Turner;LV;WR;7989;DJ Turner;LV;WR
D.K. Metcalf;SEA;WR;5846;DK Metcalf;SEA;WR
Daniel Jones;NYG;QB;5870;Daniel Jones;MIN;QB
Davante Adams;LV;WR;2133;Davante Adams;NYJ;WR
DeAndre Hopkins;TEN;WR;1426;DeAndre Hopkins;KC;WR
D'Wayne Eskridge;MIA;WR;7612;Dee Eskridge;MIA;WR
Gabriel Davis;JAX;WR;6943;Gabe Davis;JAX;WR
Greg Dulcich;DEN;TE;8172;Greg Dulcich;NYG;TE
Greg Joseph;NYG;K;5272;Greg Joseph;;K
Hunter Luepke;DAL;RB;11510;Hunter Luepke;DAL;FB
Isaiah Williams;DET;WR;11608;Isaiah Williams;CIN;WR
Jack Stoll;PHI;TE;7946;Jack Stoll;MIA;TE
Jeffery Wilson;MIA;RB;5284;Jeff Wilson;MIA;RB
Jerrod Means;NO;WR;11748;Bub Means;NO;WR
Joe Fortson;KC;TE;6665;Jody Fortson;KC;TE
John Mundt;MIN;TE;4314;Johnny Mundt;MIN;TE
John Parker Romo;MIN;K;8670;Parker Romo;MIN;K
Jonathan Mingo;CAR;WR;10225;Jonathan Mingo;DAL;WR
Josh Palmer;LAC;WR;7670;Joshua Palmer;LAC;WR
Kenny Gainwell;PHI;RB;7567;Kenneth Gainwell;PHI;RB
Khalil Herbert;CHI;RB;7608;Khalil Herbert;CIN;RB
Kyle Juszczyk;SF;RB;1379;Kyle Juszczyk;SF;FB
Laviska Shenault;SEA;WR;6814;Laviska Shenault;SEA;WR
Mar'Keise Irving;TB;RB;11584;Bucky Irving;TB;RB
Matthew Wright;SF;K;6268;Matthew Wright;KC;K
Michael Burton;DEN;RB;2471;Michael Burton;DEN;FB
Mike Williams;NYJ;WR;4068;Mike Williams;PIT;WR
Nathaniel Dell;HOU;WR;9502;Tank Dell;HOU;WR
Nick Westbrook;TEN;WR;7496;Nick Westbrook-Ikhine;TEN;WR
Odell Beckham Jr.;MIA;WR;2078;Odell Beckham;MIA;WR
Parris Campbell;PHI;WR;5880;Parris Campbell;PHI;WR
Patrick Ricard;BAL;RB;4353;Patrick Ricard;BAL;FB
Ray Ray McCloud;ATL;WR;5096;Ray-Ray McCloud;ATL;WR
Re'Mahn Davis;BUF;RB;11575;Ray Davis;BUF;RB
Riley Patterson;NYJ;K;7922;Riley Patterson;ATL;K
Ronnie Bell;SF;WR;10221;Ronnie Bell;SF;WR
Scott Matlock;LAC;RB;10994;Scott Matlock;LAC;DT
Scott Miller;PIT;WR;6290;Scotty Miller;PIT;WR
Spencer Shrader;IND;K;12185;Spencer Shrader;KC;K
Tim Boyle;MIA;QB;5257;Tim Boyle;NYG;QB
Trenton Irwin;CIN;WR;6598;Trenton Irwin;CIN;WR
Tyquan Thornton;NE;WR;8188;Tyquan Thornton;NE;WR
Velus Jones;JAX;WR;8223;Velus Jones;JAX;WR
Marquez Valdes-Scantling;BUF;WR;5086;Marquez Valdes-Scantling;NO;WR
