sleeper_Player_id;sleeper_player;footballdb_player;leaving_team;arriving_team;footballdb_position;week
2309;Amari Cooper;Amari Cooper;CLE;BUF;WR;7
11008;Anders Carlson;Anders Carlson;SF;NYJ;K;6
11949;Brayden Narveson;Brayden Narveson;GB;;K;5
8258;Cade York;Cade York;WAS;;K;2
5870;Daniel Jones;Daniel Jones;NYG;MIN;QB;12
2133;Davante Adams;Davante Adams;LV;NYJ;WR;5
1426;DeAndre Hopkins;DeAndre Hopkins;TEN;KC;WR;7
8172;Greg Dulcich;Greg Dulcich;DEN;NYG;TE;5
5272;Greg Joseph;Greg Joseph;NYG;;K;9
11608;Isaiah Williams;Isaiah Williams;DET;CIN;WR;13
7946;Jack Stoll;Jack Stoll;PHI;MIA;TE;11
10225;Jonathan Mingo;Jonathan Mingo;CAR;DAL;WR;8
7608;Khalil Herbert;Khalil Herbert;CHI;CIN;RB;8
6268;Matthew Wright;Matthew Wright;SF;KC;K;13
4068;Mike Williams;Mike Williams;NYJ;PIT;WR;8
5880;Parris Campbell;Parris Campbell;;PHI;WR;3
7922;Riley Patterson;Riley Patterson;NYJ;ATL;K;9
12185;Spencer Shrader;Spencer Shrader;IND;NYJ;K;6
12185;Spencer Shrader;Spencer Shrader;NYJ;KC;K;7
5257;Tim Boyle;Tim Boyle;MIA;NYG;QB;12
5937;Diontae Johnson;Diontae Johnson;CAR;BAL;WR;7
6938;Cam Akers;Cam Akers;HOU;MIN;RB;5
5086;Marquez Valdes-Scantling;Marquez Valdes-Scantling;BUF;NO;WR;8
3423;Robbie Chosen;Robbie Chosen;;MIA;WR;2
7606;Kadarius Toney;Kadarius Toney;;CLE;WR;14
4951;DJ Chark;D.J. Chark;;LAC;WR;14
